scan_id,map_name,primary_state,date_on_map,map_scale,grid_size,geotiff_url,metadata_url,westbc,eastbc,northbc,southbc,product_filesize
170815,Grantville,Pennsylvania,1969,24000,7.5 X 7.5 Minute,https://prd-tnm.s3.amazonaws.com/StagedProducts/Maps/HistoricalTopo/GeoTIFF/PA/PA_Grantville_170815_1969_24000_geo.tif,https://thor-f5.er.usgs.gov/ngtoc/metadata/waf/maps/historicaltopo/pdf/PA/24000/PA_Grantville_170815_1969_24000_geo.xml,-76.75000000,-76.62500000,40.50000000,40.37500000,10331868
223127,Great Bend,Pennsylvania,1992,24000,7.5 X 7.5 Minute,https://prd-tnm.s3.amazonaws.com/StagedProducts/Maps/HistoricalTopo/GeoTIFF/PA/PA_Great%20Bend_223127_1992_24000_geo.tif,https://thor-f5.er.usgs.gov/ngtoc/metadata/waf/maps/historicaltopo/pdf/PA/24000/PA_Great_Bend_223127_1992_24000_geo.xml,-75.75000000,-75.62500000,42.00000000,41.87500000,12938484
223128,Greencastle,Pennsylvania,1990,24000,7.5 X 7.5 Minute,https://prd-tnm.s3.amazonaws.com/StagedProducts/Maps/HistoricalTopo/GeoTIFF/PA/PA_Greencastle_223128_1990_24000_geo.tif,https://thor-f5.er.usgs.gov/ngtoc/metadata/waf/maps/historicaltopo/pdf/PA/24000/PA_Greencastle_223128_1990_24000_geo.xml,-77.75000000,-77.62500000,39.87500000,39.75000000,8987106
170825,Greenfield,Pennsylvania,1958,24000,7.5 X 7.5 Minute,https://prd-tnm.s3.amazonaws.com/StagedProducts/Maps/HistoricalTopo/GeoTIFF/PA/PA_Greenfield_170825_1958_24000_geo.tif,https://thor-f5.er.usgs.gov/ngtoc/metadata/waf/maps/historicaltopo/pdf/PA/24000/PA_Greenfield_170825_1958_24000_geo.xml,-80.37500000,-80.25000000,41.25000000,41.12500000,13243409
170835,Greensburg,Pennsylvania,1954,24000,7.5 X 7.5 Minute,https://prd-tnm.s3.amazonaws.com/StagedProducts/Maps/HistoricalTopo/GeoTIFF/PA/PA_Greensburg_170835_1954_24000_geo.tif,https://thor-f5.er.usgs.gov/ngtoc/metadata/waf/maps/historicaltopo/pdf/PA/24000/PA_Greensburg_170835_1954_24000_geo.xml,-79.62500000,-79.50000000,40.37500000,40.25000000,13610369
170840,Greensville East,Pennsylvania,1958,24000,7.5 X 7.5 Minute,https://prd-tnm.s3.amazonaws.com/StagedProducts/Maps/HistoricalTopo/GeoTIFF/PA/PA_Greensville%20East_170840_1958_24000_geo.tif,https://thor-f5.er.usgs.gov/ngtoc/metadata/waf/maps/historicaltopo/pdf/PA/24000/PA_Greensville_East_170840_1958_24000_geo.xml,-80.37500000,-80.25000000,41.50000000,41.37500000,11951284
170841,Greensville West,Pennsylvania,1958,24000,7.5 X 7.5 Minute,https://prd-tnm.s3.amazonaws.com/StagedProducts/Maps/HistoricalTopo/GeoTIFF/PA/PA_Greensville%20West_170841_1958_24000_geo.tif,https://thor-f5.er.usgs.gov/ngtoc/metadata/waf/maps/historicaltopo/pdf/PA/24000/PA_Greensville_West_170841_1958_24000_geo.xml,-80.50000000,-80.37500000,41.50000000,41.37500000,10910222
8032400,Greenville West,Pennsylvania,1958,24000,7.5 X 7.5 Minute,https://prd-tnm.s3.amazonaws.com/StagedProducts/Maps/HistoricalTopo/GeoTIFF/PA/PA_Greenville%20West_8032400_1958_24000_geo.tif,https://thor-f5.er.usgs.gov/ngtoc/metadata/waf/maps/historicaltopo/pdf/PA/24000/PA_Greenville_West_8032400_1958_24000_geo.xml,-80.50000000,-80.37500000,41.50000000,41.37500000,12412961
170843,Grove City,Pennsylvania,1961,24000,7.5 X 7.5 Minute,https://prd-tnm.s3.amazonaws.com/StagedProducts/Maps/HistoricalTopo/GeoTIFF/PA/PA_Grove%20City_170843_1961_24000_geo.tif,https://thor-f5.er.usgs.gov/ngtoc/metadata/waf/maps/historicaltopo/pdf/PA/24000/PA_Grove_City_170843_1961_24000_geo.xml,-80.12500000,-80.00000000,41.25000000,41.12500000,10955412
170846,Grover,Pennsylvania,1969,24000,7.5 X 7.5 Minute,https://prd-tnm.s3.amazonaws.com/StagedProducts/Maps/HistoricalTopo/GeoTIFF/PA/PA_Grover_170846_1969_24000_geo.tif,https://thor-f5.er.usgs.gov/ngtoc/metadata/waf/maps/historicaltopo/pdf/PA/24000/PA_Grover_170846_1969_24000_geo.xml,-76.87500000,-76.75000000,41.62500000,41.50000000,10231349
